epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.6208607433343921,0.5241143832693128,0.3029718372602105,0.7559726962457338,0.5767172503676392,5e-05
2,0.38665444988676284,0.6743491250533504,0.242786118296633,0.8156996587030717,0.6097832455204681,5e-05
3,0.27031709179536584,0.7554417413572343,0.2666487375420515,0.8191126279863481,0.6762056811980012,5e-05
4,0.20170933811444786,0.8233034571062741,0.2872823244882525,0.7815699658703071,0.6274999751174567,5e-05
5,0.17314714062966904,0.8275714895433205,0.3349828529886825,0.7696245733788396,0.5998141221161226,5e-06
6,0.1175215911697334,0.892018779342723,0.2763304490685056,0.8242320819112628,0.6667880287498528,5e-06
7,0.09505863160187497,0.9137857447716603,0.29052105108625653,0.825938566552901,0.6670094665775421,5e-06
8,0.07930061967134781,0.9253094323516858,0.30040430168242993,0.8225255972696246,0.6492377907878778,1e-06
9,0.06967260325395089,0.9253094323516858,0.29639683333273226,0.8276450511945392,0.6745418118044841,1e-06
10,0.0670052599694502,0.9236022193768673,0.2979390867334177,0.8293515358361775,0.6781062996997027,1e-06
11,0.0595291142299854,0.9381135296628255,0.30403700562467345,0.8208191126279863,0.6567983996609843,1e-06
12,0.06565273612279746,0.9321382842509603,0.3105138337856267,0.825938566552901,0.6633311787507736,1e-06
13,0.06767589656570135,0.9257362355953905,0.3184072464806228,0.825938566552901,0.6684874045915512,1e-06
14,0.06399888866765856,0.9368331199317115,0.31446802738176677,0.8293515358361775,0.6764650833315982,1e-06
15,0.06225280045375476,0.93854033290653,0.31658906232781786,0.8327645051194539,0.6871990119627484,1e-06
16,0.055367995811943516,0.9432351685872813,0.32384914668346837,0.8242320819112628,0.656576112631224,1e-06
17,0.059552295594362877,0.9372599231754162,0.3216652043240062,0.8225255972696246,0.654631805291003,1e-06
18,0.047211245770796315,0.9500640204865557,0.32355807879272175,0.8293515358361775,0.6752818674962014,1e-06
19,0.048333688247575245,0.9500640204865557,0.33054333762504134,0.8310580204778157,0.6801616834933639,1e-06
20,0.05176729916082556,0.9436619718309859,0.33368307860638097,0.8276450511945392,0.6701674309044309,1e-06
