epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.47751867895802014,0.6961160904822876,0.3631981310685747,0.7491467576791809,0.4275857419891033,5e-05
2,0.32698836390960945,0.7631241997439181,0.3612220304614448,0.7542662116040956,0.43035599323201507,5e-05
3,0.2764862455647062,0.7887323943661971,0.30667729385883735,0.7662116040955631,0.48316879260101153,5e-05
4,0.2612664454596334,0.8070849338454972,0.28211433328561003,0.78839590443686,0.5257881673821323,5e-05
5,0.23623711913760484,0.8173282116944088,0.30800334412490143,0.7491467576791809,0.5445164645700065,5e-05
6,0.23019199852397998,0.816047801963295,0.2713554906865436,0.7901023890784983,0.5466298428459665,5e-05
7,0.20363425332106844,0.844216816047802,0.2757409272950664,0.7815699658703071,0.6541577512929738,5e-05
8,0.20976783721252634,0.8361075544174136,0.2810296353219719,0.8122866894197952,0.6930892857142857,5e-05
9,0.19741320038533114,0.8390951771233461,0.2519507287610513,0.8139931740614335,0.6175995183817188,5e-05
10,0.1719998210426889,0.8583013230900555,0.2523699185140304,0.8156996587030717,0.6582676694495732,5e-05
11,0.17671982636194275,0.8523260776781904,0.24186578586239862,0.8242320819112628,0.6441283954645567,5e-05
12,0.16529503551192942,0.8557405036278276,0.2464630338061385,0.8174061433447098,0.6203813105150736,5e-05
13,0.16064951087400234,0.8676909944515578,0.2402147734124506,0.8174061433447098,0.6662356621613087,5e-05
14,0.1418659456672065,0.882202304737516,0.26634916454655316,0.7986348122866894,0.6144079123828916,5e-05
15,0.1480775289158001,0.862569355527102,0.25144098986436075,0.8293515358361775,0.6613600124335107,5e-05
16,0.12420802277870988,0.894579598804951,0.2529382702128472,0.8156996587030717,0.6570527445854147,5e-06
17,0.1021736928866401,0.9112249253094323,0.2548535197159536,0.8293515358361775,0.6727171071386284,5e-06
18,0.10583547178721052,0.90183525394793,0.25055228695019116,0.8293515358361775,0.6794469885977973,5e-06
19,0.1037569317713895,0.9043960734101579,0.2498029726764041,0.8174061433447098,0.658619672124345,1e-06
20,0.0965530045117469,0.9099445155783183,0.24908286582284414,0.8225255972696246,0.667096957362076,1e-06
